drain TotalCurrent(BV_n44_des) X,drain TotalCurrent(BV_n44_des) Y,drain TotalCurrent(BV_n53_des) X,drain TotalCurrent(BV_n53_des) Y
0.12977868,3.3397903e-06,0.096973495,2.0001415e-06
0.13384105,3.5325194e-06,0.099004676,2.0651714e-06
0.13688782,3.682334e-06,0.10205145,2.1657145e-06
0.14145797,3.9157296e-06,0.10433653,2.2435235e-06
0.14831321,4.2859499e-06,0.10776414,2.3641777e-06
0.15345464,4.5800329e-06,0.11033486,2.457837e-06
0.16116678,5.0486537e-06,0.11419093,2.6035246e-06
0.17273499,5.8166049e-06,0.11708298,2.7169725e-06
0.18141115,6.4467362e-06,0.12142106,2.8940162e-06
0.19442539,7.4846894e-06,0.12467462,3.0323295e-06
0.21394674,9.264831e-06,0.12711479,3.1392392e-06
0.24322878,1.2488246e-05,0.13077504,3.3048051e-06
0.28715183,1.8774329e-05,0.13352023,3.433151e-06
0.35303641,3.2535196e-05,0.13763802,3.6325235e-06
0.45186327,6.7917912e-05,0.1438147,3.9474357e-06
0.60010357,0.00017784536,0.15307972,4.457008e-06
-,-,0.16002848,4.8698992e-06
-,-,0.16524006,5.1976106e-06
-,-,0.17305742,5.7193484e-06
-,-,0.17892043,6.135321e-06
-,-,0.18771496,6.8006917e-06
-,-,0.20090676,7.8964932e-06
-,-,0.22069445,9.7748548e-06
-,-,0.25037599,1.3175162e-05
-,-,0.29489829,1.9812825e-05
-,-,0.36168175,3.4389244e-05
-,-,0.46185694,7.2081137e-05
-,-,0.61211972,0.00018924977

