drain TotalCurrent(IdVd_0.005_0.3_n18_des) X,drain TotalCurrent(IdVd_0.005_0.3_n18_des) Y,drain TotalCurrent(IdVd_0.005_0.6_n20_des) X,drain TotalCurrent(IdVd_0.005_0.6_n20_des) Y,drain TotalCurrent(IdVd_0.005_0.9_n30_des) X,drain TotalCurrent(IdVd_0.005_0.9_n30_des) Y,drain TotalCurrent(IdVd_0.005_1.5_n40_des) X,drain TotalCurrent(IdVd_0.005_1.5_n40_des) Y,drain TotalCurrent(IdVd_0.00538_0.3_n55_des) X,drain TotalCurrent(IdVd_0.00538_0.3_n55_des) Y,drain TotalCurrent(IdVd_0.00538_0.6_n59_des) X,drain TotalCurrent(IdVd_0.00538_0.6_n59_des) Y,drain TotalCurrent(IdVd_0.00538_0.9_n63_des) X,drain TotalCurrent(IdVd_0.00538_0.9_n63_des) Y,drain TotalCurrent(IdVd_0.00538_1.5_n67_des) X,drain TotalCurrent(IdVd_0.00538_1.5_n67_des) Y
2.01,0.00038279773,2.01,0.0004864532,2.01,0.0006093072,2.01,0.00087763968,2.01,0.00038006281,2.01,0.000476184,2.01,0.00059051209,2.01,0.00084094148
2.04,0.00039059516,2.04,0.00049474711,2.04,0.000617917,2.04,0.00088672928,2.04,0.00038790923,2.04,0.00048454043,2.04,0.00059919179,2.04,0.00085010464
2.07,0.0003983753,2.07,0.00050300913,2.07,0.0006264834,2.07,0.00089576127,2.07,0.00039574016,2.07,0.00049286466,2.07,0.00060782739,2.07,0.00085921113
2.1,0.00040613921,2.1,0.00051123976,2.1,0.00063500622,2.1,0.00090473634,2.1,0.0004035556,2.1,0.00050115639,2.1,0.00061641997,2.1,0.00086826134
2.13,0.00041388687,2.13,0.0005194387,2.13,0.0006434889,2.13,0.00091365551,2.13,0.00041135544,2.13,0.00050941742,2.13,0.000624972,2.13,0.00087725606
2.16,0.00042161785,2.16,0.00052760787,2.16,0.00065193247,2.16,0.00092252004,2.16,0.0004191394,2.16,0.00051764893,2.16,0.00063348468,2.16,0.0008861959
2.19,0.00042933158,2.19,0.00053574782,2.19,0.00066033794,2.19,0.00093133126,2.19,0.00042690702,2.19,0.00052585151,2.19,0.00064195917,2.19,0.00089508257
2.22,0.00043702733,2.22,0.00054385875,2.22,0.00066870612,2.22,0.00094008969,2.22,0.00043465758,2.22,0.00053402549,2.22,0.0006503965,2.22,0.00090391767
2.25,0.00044470414,2.25,0.00055194056,2.25,0.00067703752,2.25,0.00094879707,2.25,0.00044239032,2.25,0.00054217097,2.25,0.00065879739,2.25,0.00091270194
2.28,0.00045236118,2.28,0.00055999292,2.28,0.0006853324,2.28,0.00095745486,2.28,0.00045010442,2.28,0.00055028777,2.28,0.00066716231,2.28,0.00092143714
2.31,0.00045999738,2.31,0.00056801532,2.31,0.00069359074,2.31,0.00096606388,2.31,0.00045779875,2.31,0.00055837552,2.31,0.00067549137,2.31,0.00093012397
2.34,0.00046761177,2.34,0.00057600708,2.34,0.00070181215,2.34,0.00097462484,2.34,0.00046547248,2.34,0.00056643367,2.34,0.00068378461,2.34,0.00093876301
2.37,0.00047520345,2.37,0.00058396743,2.37,0.00070999639,2.37,0.00098313821,2.37,0.00047312457,2.37,0.00057446144,2.37,0.00069204176,2.37,0.00094735538
2.4,0.00048277154,2.4,0.00059189544,2.4,0.00071814298,2.4,0.0009916044,2.4,0.00048075414,2.4,0.00058245803,2.4,0.00070026237,2.4,0.00095590154
2.43,0.0004903152,2.43,0.0005997905,2.43,0.00072625144,2.43,0.001000023,2.43,0.00048835933,2.43,0.00059042275,2.43,0.00070844596,2.43,0.00096440186
2.46,0.00049783391,2.46,0.00060765205,2.46,0.00073432144,2.46,0.0010083954,2.46,0.00049593943,2.46,0.00059835477,2.46,0.00071659205,2.46,0.00097285665
2.49,0.00050532741,2.49,0.00061547975,2.49,0.00074235288,2.49,0.0010167165,2.49,0.00050349494,2.49,0.00060625287,2.49,0.0007247003,2.49,0.00098126598
2.52,0.00051279573,2.52,0.00062327308,2.52,0.00075034469,2.52,0.0010249898,2.52,0.00051102565,2.52,0.00061411759,2.52,0.00073277022,2.52,0.00098962361
2.55,0.00052023872,2.55,0.00063103249,2.55,0.00075829382,2.55,0.0010332182,2.55,0.00051853159,2.55,0.00062194904,2.55,0.0007407976,2.55,0.00099793638
2.58,0.00052765604,2.58,0.00063875929,2.58,0.00076620601,2.58,0.0010414021,2.58,0.0005260133,2.58,0.0006297477,2.58,0.00074878775,2.58,0.0010062051
2.61,0.00053505021,2.61,0.00064645449,2.61,0.00077408206,2.61,0.0010495426,2.61,0.00053347161,2.61,0.00063751444,2.61,0.00075674135,2.61,0.0010144305
2.64,0.00054242245,2.64,0.00065411958,2.64,0.00078192325,2.64,0.0010576408,2.64,0.00054090757,2.64,0.00064525041,2.64,0.00076465951,2.64,0.0010226131
2.67,0.00054977401,2.67,0.00066175615,2.67,0.00078973113,2.67,0.0010656965,2.67,0.00054832241,2.67,0.0006529571,2.67,0.00077254358,2.67,0.0010307535
2.7,0.00055710616,2.7,0.00066936573,2.7,0.0007975071,2.7,0.0010737116,2.7,0.0005557174,2.7,0.00066063607,2.7,0.00078039506,2.7,0.0010388539
2.73,0.00056442,2.73,0.00067694979,2.73,0.00080525268,2.73,0.0010816883,2.73,0.00056309371,2.73,0.00066828884,2.73,0.00078821542,2.73,0.0010469155
2.76,0.00057171645,2.76,0.00068450957,2.76,0.00081296918,2.76,0.001089627,2.76,0.00057045239,2.76,0.00067591681,2.76,0.00079600586,2.76,0.0010549391
2.79,0.00057899609,2.79,0.00069204609,2.79,0.00082065763,2.79,0.0010975295,2.79,0.00057779413,2.79,0.00068352116,2.79,0.00080376788,2.79,0.0010629262
2.82,0.00058625942,2.82,0.00069956015,2.82,0.00082831874,2.82,0.0011053968,2.82,0.00058511956,2.82,0.00069110293,2.82,0.00081150251,2.82,0.0010708781
2.85,0.00059350677,2.85,0.00070705236,2.85,0.00083595323,2.85,0.0011132297,2.85,0.00059242741,2.85,0.00069866089,2.85,0.00081921055,2.85,0.0010787957
2.88,0.00060073677,2.88,0.00071451909,2.88,0.00084356152,2.88,0.0011210288,2.88,0.00059971957,2.88,0.00070619586,2.88,0.00082689226,2.88,0.0010866797
2.91,0.00060795021,2.91,0.00072196453,2.91,0.00085114388,2.91,0.0011287949,2.91,0.00060699602,2.91,0.00071370954,2.91,0.00083454827,2.91,0.001094531
2.94,0.00061514757,2.94,0.00072938851,2.94,0.00085870057,2.94,0.0011365287,2.94,0.00061425668,2.94,0.00072120216,2.94,0.00084217903,2.94,0.0011023503
2.97,0.00062232877,2.97,0.00073679114,2.97,0.00086623186,2.97,0.001144231,2.97,0.00062150151,2.97,0.00072867382,2.97,0.00084978484,2.97,0.0011101383
3,0.00062949383,3,0.0007441725,3,0.00087373807,3,0.0011519026,3,0.00062873051,3,0.00073612454,3,0.00085736597,3,0.0011178957

