drain TotalCurrent(IdVd_0_0.3_n18_des) X,drain TotalCurrent(IdVd_0_0.3_n18_des) Y,drain TotalCurrent(IdVd_0_0.6_n20_des) X,drain TotalCurrent(IdVd_0_0.6_n20_des) Y,drain TotalCurrent(IdVd_0_0.9_n30_des) X,drain TotalCurrent(IdVd_0_0.9_n30_des) Y,drain TotalCurrent(IdVd_0_1.5_n40_des) X,drain TotalCurrent(IdVd_0_1.5_n40_des) Y,drain TotalCurrent(IdVd_1.85e10_0.3_n55_des) X,drain TotalCurrent(IdVd_1.85e10_0.3_n55_des) Y,drain TotalCurrent(IdVd_1.85e10_0.6_n59_des) X,drain TotalCurrent(IdVd_1.85e10_0.6_n59_des) Y,drain TotalCurrent(IdVd_1.85e10_0.9_n63_des) X,drain TotalCurrent(IdVd_1.85e10_0.9_n63_des) Y,drain TotalCurrent(IdVd_1.85e10_1.5_n67_des) X,drain TotalCurrent(IdVd_1.85e10_1.5_n67_des) Y
2.28,0.00045236118,2.28,0.00055999292,2.28,0.0006853324,2.28,0.00095745486,2.28,0.00044676177,2.28,0.00055401961,2.28,0.00067918946,2.28,0.00095117396
2.31,0.00045999738,2.31,0.00056801532,2.31,0.00069359074,2.31,0.00096606388,2.31,0.00045436303,2.31,0.00056201089,2.31,0.0006874181,2.31,0.00095975445
2.34,0.00046761177,2.34,0.00057600708,2.34,0.00070181215,2.34,0.00097462484,2.34,0.00046194394,2.34,0.0005699729,2.34,0.00069561113,2.34,0.0009682881
2.37,0.00047520345,2.37,0.00058396743,2.37,0.00070999639,2.37,0.00098313821,2.37,0.00046950334,2.37,0.0005779046,2.37,0.00070376803,2.37,0.00097677511
2.4,0.00048277154,2.4,0.00059189544,2.4,0.00071814298,2.4,0.0009916044,2.4,0.00047704003,2.4,0.00058580475,2.4,0.00071188798,2.4,0.00098521534
2.43,0.0004903152,2.43,0.0005997905,2.43,0.00072625144,2.43,0.001000023,2.43,0.00048455282,2.43,0.00059367233,2.43,0.00071997014,2.43,0.00099360841
2.46,0.00049783391,2.46,0.00060765205,2.46,0.00073432144,2.46,0.0010083954,2.46,0.00049204077,2.46,0.00060150637,2.46,0.00072801376,2.46,0.0010019551
2.49,0.00050532741,2.49,0.00061547975,2.49,0.00074235288,2.49,0.0010167165,2.49,0.00049950316,2.49,0.00060930607,2.49,0.00073601831,2.49,0.0010102484
2.52,0.00051279573,2.52,0.00062327308,2.52,0.00075034469,2.52,0.0010249898,2.52,0.00050693936,2.52,0.00061707012,2.52,0.00074398054,2.52,0.0010184939
2.55,0.00052023872,2.55,0.00063103249,2.55,0.00075829382,2.55,0.0010332182,2.55,0.00051434761,2.55,0.00062479908,2.55,0.0007519002,2.55,0.0010266927
2.58,0.00052765604,2.58,0.00063875929,2.58,0.00076620601,2.58,0.0010414021,2.58,0.00052172981,2.58,0.00063249342,2.58,0.00075978072,2.58,0.0010348448
2.61,0.00053505021,2.61,0.00064645449,2.61,0.00077408206,2.61,0.0010495426,2.61,0.00052908653,2.61,0.00064015369,2.61,0.00076762251,2.61,0.0010429507
2.64,0.00054242245,2.64,0.00065411958,2.64,0.00078192325,2.64,0.0010576408,2.64,0.00053641849,2.64,0.0006477809,2.64,0.00077542638,2.64,0.0010510109
2.67,0.00054977401,2.67,0.00066175615,2.67,0.00078973113,2.67,0.0010656965,2.67,0.00054372654,2.67,0.00065537621,2.67,0.00078319345,2.67,0.001059025
2.7,0.00055710616,2.7,0.00066936573,2.7,0.0007975071,2.7,0.0010737116,2.7,0.00055101155,2.7,0.00066294081,2.7,0.00079092482,2.7,0.0010669949
2.73,0.00056442,2.73,0.00067694979,2.73,0.00080525268,2.73,0.0010816883,2.73,0.0005582743,2.73,0.00067047581,2.73,0.00079862162,2.73,0.001074922
2.76,0.00057171645,2.76,0.00068450957,2.76,0.00081296918,2.76,0.001089627,2.76,0.0005655154,2.76,0.00067798219,2.76,0.00080628493,2.76,0.0010828066
2.79,0.00057899609,2.79,0.00069204609,2.79,0.00082065763,2.79,0.0010975295,2.79,0.00057273521,2.79,0.00068546073,2.79,0.0008139155,2.79,0.0010906503
2.82,0.00058625942,2.82,0.00069956015,2.82,0.00082831874,2.82,0.0011053968,2.82,0.00057993401,2.82,0.00069291203,2.82,0.00082151386,2.82,0.0010984538
2.85,0.00059350677,2.85,0.00070705236,2.85,0.00083595323,2.85,0.0011132297,2.85,0.00058711109,2.85,0.00070033475,2.85,0.0008290805,2.85,0.0011062176
2.88,0.00060073677,2.88,0.00071451909,2.88,0.00084356152,2.88,0.0011210288,2.88,0.00059426587,2.88,0.00070772856,2.88,0.00083661564,2.88,0.0011139423
2.91,0.00060795021,2.91,0.00072196453,2.91,0.00085114388,2.91,0.0011287949,2.91,0.00060139925,2.91,0.00071509545,2.91,0.00084411926,2.91,0.0011216281
2.94,0.00061514757,2.94,0.00072938851,2.94,0.00085870057,2.94,0.0011365287,2.94,0.0006085108,2.94,0.00072243502,2.94,0.00085159133,2.94,0.0011292756
2.97,0.00062232877,2.97,0.00073679114,2.97,0.00086623186,2.97,0.001144231,2.97,0.00061560011,2.97,0.00072974706,2.97,0.00085903174,2.97,0.0011368852
3,0.00062949383,3,0.0007441725,3,0.00087373807,3,0.0011519026,3,0.00062266683,3,0.00073703127,3,0.00086644043,3,0.0011444572

